Class,Sentence 1,Sentence 2,Similarity Score,Negation Count S1,Negation Count S2,Variation Type
Class 1,The process is waiting in the ready queue.,"The process is in the ready queue, waiting for execution.",94.30540913,0,0,Original
Class 1,The process isn't waiting in the ready queue.,"The process is in the ready queue, waiting for execution.",47.15,1,0,Single negation S1
Class 1,The process is waiting in the ready queue.,"The process isn't in the ready queue, waiting for execution.",47.15,0,1,Single negation S2
Class 1,The process isn't waiting in the ready queue.,"The process isn't in the ready queue, waiting for execution.",80.16,1,1,Even negations - cancel
Class 1,The process isn't waiting in the not ready queue.,"The process isn't in the ready do not queue, waiting for execution.",47.15,2,3,Even negations - cancel
Class 1,The process isn't waiting in the ready queue.,"The process isn't in the ready not queue, waiting for execution.",47.15,1,2,Even negations - cancel
Class 1,The process isn't waiting in the do not ready queue.,"The process isn't in the ready queue, waiting for execution.",80.16,3,1,Even negations - cancel
Class 1,The process isn't waiting in the ready queue.,"The process isn't in the ready queue, do not waiting for execution.",80.16,1,3,Odd negations - no cancel
Class 1,The process isn't waiting in the not ready queue.,"The process isn't in the ready queue, not waiting for execution.",80.16,2,2,Odd negations - no cancel
Class 1,The process isn't waiting in the not ready queue.,"The process is in the ready queue, waiting for execution.",80.16,2,0,Multiple negations S1
Class 1,The process is waiting in the ready queue.,"The process isn't in the ready queue, do not waiting for execution.",47.15,0,3,Multiple negations S2
Class 1,The process isn't waiting in the do not ready queue.,"The process is in the ready queue, waiting for execution.",47.15,3,0,Multiple negations S1
Class 1,A binary search tree follows an ordered structure.,A BST maintains a sorted order among its nodes.,97.12915896,0,0,Original
Class 1,A binary search tree does not follow an ordered structure.,A BST maintains a sorted order among its nodes.,82.56,2,0,Single negation S1
Class 1,A binary search tree follows an ordered structure.,A BST does not maintain a sorted order among its nodes.,82.56,0,2,Single negation S2
Class 1,A binary search tree does not follow an ordered structure.,A BST does not maintain a sorted order among its nodes.,82.56,2,2,Even negations - cancel
Class 1,A binary search tree does not follow an not ordered structure.,A BST does not maintain a sorted order among do not its nodes.,48.56,3,4,Even negations - cancel
Class 1,A binary search tree does not follow an ordered structure.,A BST does not maintain a sorted not order among do not its nodes.,48.56,2,5,Even negations - cancel
Class 1,A binary search tree does not follow an not ordered structure.,A BST does not maintain a sorted order among its nodes.,48.56,3,2,Even negations - cancel
Class 1,A binary search tree does not follow an do not ordered structure.,A BST does not maintain a sorted order among its nodes.,82.56,4,2,Odd negations - no cancel
Class 1,A binary search tree does not follow an ordered structure.,A BST does not maintain a sorted not order among its nodes.,48.56,2,3,Odd negations - no cancel
Class 1,A binary search tree does not follow an do not ordered structure.,A BST does not maintain a sorted order among not its nodes.,48.56,4,3,Odd negations - no cancel
Class 1,A binary search tree does not follow an ordered structure.,A BST does not maintain a sorted not order among not its nodes.,82.56,2,4,Odd negations - no cancel
Class 1,A binary search tree does not follow an do not ordered structure.,A BST maintains a sorted order among its nodes.,82.56,4,0,Multiple negations S1
Class 1,A binary search tree follows an ordered structure.,A BST does not maintain a sorted not order among its nodes.,48.56,0,3,Multiple negations S2
Class 1,A binary search tree does not follow an not ordered structure.,A BST maintains a sorted order among its nodes.,48.56,3,0,Multiple negations S1
Class 1,A binary search tree follows an ordered structure.,A BST does not maintain a sorted order do not among its nodes.,82.56,0,4,Multiple negations S2
Class 1,Paging helps in memory management.,Paging is used for efficient memory allocation.,91.97303585,0,0,Original
Class 1,Paging does not help in memory management.,Paging is used for efficient memory allocation.,78.18,2,0,Single negation S1
Class 1,Paging helps in memory management.,Paging isn't used for efficient memory allocation.,45.99,0,1,Single negation S2
Class 1,Paging does not help in memory management.,Paging isn't used for efficient memory allocation.,45.99,2,1,Even negations - cancel
Class 1,Paging does not help in not memory management.,Paging isn't used for not efficient memory allocation.,45.99,3,2,Even negations - cancel
Class 1,Paging does not help in memory management.,Paging isn't used for do not efficient memory allocation.,45.99,2,3,Even negations - cancel
Class 1,Paging does not help in do not memory management.,Paging isn't used for efficient memory allocation.,45.99,4,1,Even negations - cancel
Class 1,Paging does not help in not memory management.,Paging isn't used for efficient memory allocation.,78.18,3,1,Odd negations - no cancel
Class 1,Paging does not help in memory management.,Paging isn't used for efficient do not memory allocation.,45.99,2,3,Odd negations - no cancel
Class 1,Paging does not help in do not memory management.,Paging isn't used for efficient not memory allocation.,78.18,4,2,Odd negations - no cancel
Class 1,Paging does not help in not memory management.,Paging isn't used for efficient do not memory allocation.,78.18,3,3,Odd negations - no cancel
Class 1,Paging does not help in do not memory management.,Paging is used for efficient memory allocation.,78.18,4,0,Multiple negations S1
Class 1,Paging helps in memory management.,Paging isn't used for not efficient memory allocation.,78.18,0,2,Multiple negations S2
Class 1,Paging does not help in not memory management.,Paging is used for efficient memory allocation.,45.99,3,0,Multiple negations S1
Class 1,Paging helps in memory management.,Paging isn't used for efficient not memory allocation.,78.18,0,2,Multiple negations S2
Class 1,The CPU scheduler selects the next process.,The CPU scheduling algorithm picks the next process for execution.,99.5173544,0,0,Original
Class 1,The CPU scheduler does not select the next process.,The CPU scheduling algorithm picks the next process for execution.,84.59,2,0,Single negation S1
Class 1,The CPU scheduler selects the next process.,The CPU do not scheduling algorithm picks the next process for execution.,84.59,0,2,Single negation S2
Class 1,The CPU scheduler does not select the next process.,The CPU scheduling algorithm picks the next do not process for execution.,84.59,2,2,Even negations - cancel
Class 1,The CPU scheduler does not select the next process.,The CPU not scheduling algorithm do not picks the next process for execution.,49.76,2,3,Even negations - cancel
Class 1,The CPU scheduler does not select the next process.,The CPU scheduling do not algorithm picks the do not next process for execution.,84.59,2,4,Even negations - cancel
Class 1,The CPU scheduler does not select the do not next process.,The CPU scheduling algorithm do not picks the next process for execution.,84.59,4,2,Even negations - cancel
Class 1,The CPU scheduler does not select the not next process.,The CPU scheduling algorithm picks the next do not process for execution.,49.76,3,2,Odd negations - no cancel
Class 1,The CPU scheduler does not select the next process.,The CPU scheduling do not algorithm picks the next do not process for execution.,84.59,2,4,Odd negations - no cancel
Class 1,The CPU scheduler does not select the do not next process.,The CPU not scheduling algorithm picks the not next process for execution.,84.59,4,2,Odd negations - no cancel
Class 1,The CPU scheduler does not select the next process.,The CPU scheduling algorithm do not picks the next not process for execution.,49.76,2,3,Odd negations - no cancel
Class 1,The CPU scheduler selects the next process.,The CPU scheduling algorithm not picks the next process for execution.,49.76,0,1,Odd negations - no cancel
Class 1,The CPU scheduler selects the next process.,The CPU scheduling not algorithm picks the next do not process for execution.,49.76,0,3,Multiple negations S2
Class 1,The CPU scheduler does not select the do not next process.,The CPU scheduling algorithm picks the next process for execution.,84.59,4,0,Multiple negations S1
Class 1,The CPU scheduler selects the next process.,The CPU scheduling algorithm not picks the next do not process for execution.,49.76,0,3,Multiple negations S2
Class 1,A mutex prevents multiple threads from accessing a resource.,A mutex ensures only one thread accesses a resource at a time.,90.56835292,0,0,Original
Class 1,A mutex does not prevent multiple threads from accessing a resource.,A mutex ensures only one thread accesses a resource at a time.,83.32,2,0,Single negation S1
