Class,Sentence 1,Sentence 2,Similarity Score
Class 1,The process is waiting in the ready queue.,"The process is in the ready queue, waiting for execution.",94.30540913
Class 1,A binary search tree follows an ordered structure.,A BST maintains a sorted order among its nodes.,97.12915896
Class 1,Paging helps in memory management.,Paging is used for efficient memory allocation.,91.97303585
Class 1,The CPU scheduler selects the next process.,The CPU scheduling algorithm picks the next process for execution.,99.5173544
Class 1,A mutex prevents multiple threads from accessing a resource.,A mutex ensures only one thread accesses a resource at a time.,90.56835292
Class 1,Virtual memory expands available memory space.,The system uses virtual memory to increase memory capacity.,94.75245926
Class 1,File systems manage data storage.,A file system organizes files and directories efficiently.,98.97539586
Class 1,Thread synchronization avoids race conditions.,Proper thread synchronization prevents concurrent access issues.,90.79109201
Class 1,The heap allows dynamic memory allocation.,Dynamic memory allocation is handled by the heap.,96.24933092
Class 1,A deadlock happens when circular wait occurs.,Deadlock results from processes waiting on each other indefinitely.,90.99843568
Class 2,Deadlock occurs when processes are in circular wait.,A system experiences deadlock when there is a circular hold of resources.,76.21729335
Class 2,"Stack follows Last In, First Out principle.",Stack operates using the LIFO mechanism.,82.61068299
Class 2,Segmentation divides memory logically.,Memory segmentation allows logical division of memory space.,76.02578877
Class 2,A thread is a lightweight process.,A thread is a sub-unit of a process that shares resources.,79.03106144
Class 2,The page replacement algorithm manages memory pages.,A system uses page replacement techniques to handle memory.,82.14787103
Class 2,A linked list maintains sequential connections.,Each node in a linked list connects to the next in sequence.,76.96560359
Class 2,Mutexes and semaphores control process access.,Semaphores help coordinate process synchronization.,77.90402224
Class 2,QuickSort is a divide-and-conquer sorting algorithm.,The QuickSort algorithm partitions data for efficient sorting.,79.07658142
Class 2,Process starvation occurs in priority scheduling.,Priority scheduling may cause lower-priority processes to starve.,83.48067963
Class 2,Paging minimizes external fragmentation.,Paging allows non-contiguous memory allocation to reduce fragmentation.,77.92925525
Class 3,The operating system handles process scheduling.,The linked list organizes elements in nodes.,41.5121802
Class 3,An AVL tree is a self-balancing BST.,Round-robin scheduling assigns equal time slots to processes.,42.2777761
Class 3,A process may enter a blocked state.,A graph can have multiple cycles.,48.1735396
Class 3,Critical section handling is essential in concurrency.,Depth-first search traverses a graph recursively.,42.6043726
Class 3,A file system organizes data efficiently.,Sorting algorithms arrange elements in order.,47.78433713
Class 3,CPU scheduling optimizes process execution.,Hashing maps keys to specific locations in a table.,43.90192083
Class 3,Multi-threading improves application performance.,Dijkstraas algorithm finds the shortest path in a graph.,47.74434267
Class 3,Page tables store memory address mappings.,A binary search finds elements efficiently in sorted arrays.,44.1073307
Class 3,Disk scheduling improves input/output efficiency.,A priority queue arranges elements based on urgency.,49.35326767
Class 3,Semaphore operations synchronize concurrent processes.,A circular queue implements a FIFO structure with wrap-around.,47.44020645
Class 4,A CPU register stores small amounts of data.,A semaphore can synchronize processes.,20.68687122
Class 4,The operating system provides an interface for users.,A binary tree has at most two children per node.,36.46072591
Class 4,Cache memory speeds up data access.,A queue follows the FIFO principle.,22.78507171
Class 4,The producer-consumer problem involves synchronization.,Graph traversal techniques include BFS and DFS.,22.78610408
Class 4,A kernel manages hardware resources.,The linked list supports dynamic memory allocation.,39.98750954
Class 4,A disk partition divides storage space.,A circular linked list connects nodes in a cycle.,23.22623208
Class 4,The system call interface allows user-space communication.,Graph coloring assigns colors to nodes following constraints.,32.0135284
Class 4,Process forking creates new child processes.,Bubble sort swaps adjacent elements iteratively.,21.89893692
Class 4,Operating systems manage CPU and memory.,A spanning tree is a subset of a connected graph.,36.77778243
Class 4,Interrupts signal events to the processor.,A hash table maps keys to values efficiently.,25.83993756
Class 1,Machine learning improves predictive accuracy.,ML enhances the accuracy of predictions.,92.49715007
Class 1,Neural networks learn patterns from data.,Deep learning models use neural networks to identify patterns.,91.75109402
Class 1,Supervised learning requires labeled data.,Labeled data is essential for supervised learning models.,98.38712978
Class 1,A decision tree classifies data based on rules.,A decision tree splits data using predefined criteria.,88.37213171
Class 1,Convolutional neural networks process images.,CNNs analyze image data using filters and layers.,99.4605897
Class 1,Natural language processing helps computers understand text.,NLP enables machines to process human language.,90.86937429
Class 1,Reinforcement learning optimizes actions based on rewards.,"In reinforcement learning, agents learn through rewards and penalties.",86.98269435
Class 1,AI-powered chatbots improve customer support.,AI chatbots assist users by answering queries intelligently.,91.69468768
Class 1,Generative models create new data samples.,A generative model synthesizes new data based on learned patterns.,89.08694836
Class 1,Transfer learning improves model performance with pre-trained knowledge.,Pre-trained models enhance AI learning by leveraging existing knowledge.,96.1255294
Class 2,AI systems use deep learning for complex tasks.,Advanced AI applications rely on deep learning algorithms.,76.21869811
Class 2,Unsupervised learning identifies hidden patterns.,Clustering techniques in AI help find underlying data structures.,78.42792653
Class 2,Backpropagation helps train neural networks.,Gradient descent optimizes weights in neural networks.,75.82008162
Class 2,A recommender system suggests items to users.,Recommendation algorithms personalize content for users.,83.7949722
Class 2,AI in healthcare assists in medical diagnosis.,Machine learning models help detect diseases from medical data.,79.93345139
Class 2,A support vector machine separates data points with a hyperplane.,SVMs classify data using optimal decision boundaries.,77.39409254
Class 2,Artificial intelligence enables speech recognition.,Speech-to-text conversion relies on AI models.,78.81498114
Class 2,AI can detect fraudulent transactions in banking.,Machine learning identifies anomalies in financial transactions.,83.38188159
Class 2,Robotics integrates AI for automation.,AI-powered robots perform tasks autonomously.,82.43098544
Class 2,Sentiment analysis classifies emotions in text.,AI models analyze text to determine sentiment polarity.,83.04988473
Class 3,Machine learning optimizes business decisions.,A self-driving car avoids obstacles using AI.,41.80925718
Class 3,A genetic algorithm evolves solutions over generations.,Face recognition systems classify images based on features.,47.64259487
Class 3,Chatbots use NLP for conversation.,A random forest algorithm predicts stock market trends.,43.24928455
Class 3,AI generates music compositions.,A gradient boosting model improves predictive accuracy.,47.6347021
Class 3,Deep learning enhances image recognition.,Heuristic algorithms solve optimization problems.,40.64940228
Class 3,AI enables automated customer service.,A clustering algorithm groups similar data points.,43.71208798
Class 3,A convolutional neural network extracts image features.,A reinforcement learning agent plays games autonomously.,45.51434449
Class 3,Predictive analytics forecasts trends.,A neural network generates realistic deepfake images.,47.32275159
Class 3,AI enhances fraud detection in banking.,A Naive Bayes classifier categorizes emails as spam or ham.,43.00807771
Class 3,Machine vision enables object detection.,A k-means algorithm segments customer demographics.,40.65196871
Class 4,An AI model classifies medical images.,A sorting algorithm arranges numbers in order.,25.97662441
Class 4,Reinforcement learning trains an AI agent.,A stack follows the LIFO principle.,31.41597486
Class 4,A chatbot interacts with users.,Graph traversal algorithms explore connected nodes.,35.11740234
Class 4,Natural language processing translates text.,Dijkstras algorithm finds the shortest path.,25.778788
Class 4,Neural networks recognize speech patterns.,Binary search locates elements in a sorted list.,35.47338583
Class 4,AI-driven robots assist in manufacturing.,Heap sort arranges data in ascending order.,33.49800019
Class 4,Predictive modeling anticipates outcomes.,A spanning tree is a subset of a connected graph.,23.45932678
Class 4,AI personalizes shopping recommendations.,A scheduling algorithm assigns CPU tasks.,37.24956388
Class 4,Image processing enhances visual recognition.,A deadlock occurs when resources are held indefinitely.,32.78063749
Class 4,Supervised learning maps input to output.,A linked list connects elements dynamically.,20.85731075
